사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차
Nov-21,1호선,1,서울역,"1,086,374","1,044,750","180,495","170,842"
Nov-21,1호선,10,동묘앞,"119,396","128,531","137,406","138,097"
Nov-21,1호선,2,시청,"516,353","528,021","72,373","72,182"
Nov-21,1호선,3,종각,"797,960","781,329","118,815","110,536"
Nov-21,1호선,4,종로3가,"433,793","397,349","272,242","254,421"
Nov-21,1호선,5,종로5가,"362,377","370,057","230,840","220,847"
Nov-21,1호선,6,동대문,"210,503","195,301","112,597","110,925"
Nov-21,1호선,7,신설동,"271,006","262,798","108,130","103,695"
Nov-21,1호선,8,제기동,"222,630","214,314","247,332","263,992"
Nov-21,1호선,9,청량리(서울시립대입구),"315,789","317,666","232,661","237,208"
Nov-21,2호선,11,시청,"547,821","531,320","49,350","45,066"
Nov-21,2호선,12,을지로입구,"920,409","948,676","87,312","81,505"
Nov-21,2호선,13,을지로3가,"509,464","512,132","69,858","69,000"
Nov-21,2호선,14,을지로4가,"257,675","257,704","77,307","75,748"
Nov-21,2호선,15,동대문역사문화공원(DDP),"278,121","318,942","50,300","53,502"
Nov-21,2호선,16,신당,"290,767","301,742","87,462","89,096"
Nov-21,2호선,17,상왕십리,"323,631","308,568","63,185","63,252"
Nov-21,2호선,18,왕십리(성동구청),"402,857","337,634","47,625","39,932"
Nov-21,2호선,19,한양대,"219,942","236,092","11,741","12,338"
Nov-21,2호선,20,뚝섬,"530,224","566,250","55,833","55,998"
Nov-21,2호선,21,성수,"853,972","949,401","96,738","98,849"
Nov-21,2호선,22,건대입구,"906,513","996,203","81,208","85,304"
Nov-21,2호선,23,구의(광진구청),"543,496","528,893","93,500","95,388"
Nov-21,2호선,24,강변(동서울터미널),"768,202","742,135","107,399","105,163"
Nov-21,2호선,25,잠실나루,"307,112","294,808","75,553","75,808"
Nov-21,2호선,26,잠실(송파구청),"1,779,956","1,771,465","172,479","163,266"
Nov-21,2호선,27,잠실새내,"481,393","486,797","94,604","94,732"
Nov-21,2호선,28,종합운동장,"216,149","241,540","40,081","42,669"
Nov-21,2호선,29,삼성(무역센터),"1,293,890","1,327,493","105,415","97,914"
Nov-21,2호선,30,선릉,"1,236,329","1,104,842","200,878","178,049"
Nov-21,2호선,31,역삼,"1,160,908","1,308,445","141,183","142,659"
Nov-21,2호선,32,강남,"2,068,581","2,106,836","157,942","141,910"
Nov-21,2호선,33,교대(법원.검찰청),"734,616","836,258","141,526","160,393"
Nov-21,2호선,34,서초,"514,128","485,704","73,840","72,149"
Nov-21,2호선,35,방배,"396,559","417,322","68,215","67,613"
Nov-21,2호선,36,사당,"870,198","983,981","172,740","166,319"
Nov-21,2호선,37,낙성대(강감찬),"658,644","621,765","94,039","95,812"
Nov-21,2호선,38,서울대입구(관악구청),"1,145,521","1,130,248","166,813","160,027"
Nov-21,2호선,39,봉천,"517,802","463,282","128,211","128,302"
Nov-21,2호선,40,신림,"1,528,201","1,462,225","205,165","207,422"
Nov-21,2호선,41,신대방,"610,248","582,894","115,355","116,946"
Nov-21,2호선,42,구로디지털단지,"1,436,371","1,430,429","154,607","156,533"
Nov-21,2호선,43,대림(구로구청),"552,788","563,727","107,354","111,203"
Nov-21,2호선,44,신도림,"1,158,651","1,164,676","176,683","166,936"
Nov-21,2호선,45,문래,"492,806","509,360","73,078","72,538"
Nov-21,2호선,46,영등포구청,"510,358","520,658","94,784","93,338"
