사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
2021-11,1호선,1,서울역,630,11,"8,985","7,058","12,028","40,803","36,492","93,181","61,857","196,998","48,518","131,911","49,785","67,104","57,296","57,503","67,212","64,828","68,923","62,027","59,146","58,165","78,671","61,463","88,156","65,725","136,669","75,650","198,548","82,448","93,839","51,787","65,417","34,209","70,807","29,311","46,511","21,788","17,275","12,360",101,"1,257",1,3,2,2,0,0
2021-11,1호선,10,동묘앞,141,1,"2,570",907,"3,387","4,074","5,711","7,976","9,492","20,213","7,707","16,905","8,586","18,424","12,140","24,629","18,157","27,618","24,695","30,966","29,042","28,726","32,042","24,195","34,642","17,024","29,570","11,763","17,697","8,988","7,597","6,173","4,948","4,434","4,545","4,032","3,070","4,587","1,055","2,974",8,"2,017",0,2,0,0,0,0
2021-11,1호선,2,시청,30,0,"2,006","4,859","2,980","19,785","6,504","57,521","8,275","173,717","8,576","83,121","9,894","35,008","15,611","34,889","17,230","30,807","20,617","27,847","28,214","25,240","37,716","21,714","44,129","20,124","75,744","20,612","142,785","20,226","51,305","9,055","42,181","5,305","40,637","4,545","26,627","3,323","7,600","2,196",65,309,0,0,0,0,0,0
2021-11,1호선,3,종각,118,1,"2,639","3,960","3,158","20,401","5,614","89,885","9,209","225,883","10,921","131,732","15,255","53,438","23,410","48,848","27,245","42,754","34,266","41,537","43,394","36,689","55,193","30,966","63,363","32,576","120,935","39,659","193,714","47,591","78,985","22,737","67,652","9,433","77,099","6,235","60,282","4,433","24,111","2,786",212,321,0,0,0,0,0,0
2021-11,1호선,4,종로3가,223,21,"3,177","3,136","3,328","12,386","4,372","22,852","8,154","66,753","11,130","67,243","17,687","55,665","29,721","58,712","37,175","60,339","45,818","59,438","53,167","52,444","62,617","43,443","67,320","37,918","77,902","34,941","93,097","36,455","54,629","17,660","41,183","7,746","44,802","5,897","36,716","4,343","13,681","3,463",135,914,0,1,1,0,0,0
2021-11,1호선,5,종로5가,28,0,"1,476","3,763","2,574","15,812","4,799","37,863","7,469","96,874","10,539","61,744","16,598","47,249","25,089","48,892","32,307","46,829","38,840","45,135","47,685","42,855","53,028","35,700","58,567","30,585","75,468","26,306","94,078","22,896","45,414","12,372","29,943","5,881","26,287","4,399","17,870","3,124","5,111","2,014",47,611,0,0,0,0,0,0
2021-11,1호선,6,동대문,782,14,"12,451","2,166","8,849","6,242","14,133","10,756","19,586","22,687","16,773","22,168","15,451","20,010","17,234","22,253","19,964","22,164","21,447","21,687","23,926","21,255","25,345","19,720","27,255","18,153","25,478","17,790","22,606","18,178","14,952","18,367","12,261","12,552","11,322","10,218","9,698","9,280","3,540","8,790",47,"1,776",0,0,0,0,0,0
2021-11,1호선,7,신설동,327,8,"8,031","2,831","7,820","10,278","16,712","22,696","24,617","62,491","17,378","33,687","15,449","21,235","17,555","17,985","19,086","17,874","20,980","19,394","21,407","17,441","24,321","17,567","30,656","18,299","41,297","21,270","55,999","26,042","20,452","17,205","13,553","11,351","11,922","10,451","8,646","9,498","2,889","7,668",39,"1,222",0,0,0,0,0,0
2021-11,1호선,8,제기동,294,10,"4,682","2,011","7,839","8,190","20,349","18,374","30,429","38,617","21,229","31,322","23,714","36,350","31,461","42,282","37,700","42,876","40,056","45,278","43,614","44,497","47,632","37,311","44,470","29,224","40,837","23,642","35,070","25,013","15,032","16,745","9,806","10,671","8,338","9,836","5,364","9,193","2,010","6,064",36,800,0,0,0,0,0,0
2021-11,1호선,9,청량리(서울시립대입구),"1,000",10,"10,265","4,662","13,987","20,004","34,484","16,385","45,105","34,899","30,039","31,052","27,965","33,556","31,154","37,528","36,151","38,130","38,096","41,346","41,270","44,511","45,352","42,629","50,588","38,119","47,620","38,495","37,958","45,190","20,018","29,969","15,665","17,225","11,607","16,324","7,359","14,670","2,688","8,574",79,"1,596",0,0,0,0,0,0
2021-11,2호선,11,시청,7,0,774,"1,623","1,683","15,242","4,760","56,609","7,123","200,771","9,105","87,622","11,993","27,360","17,998","24,858","18,118","23,124","21,449","22,715","28,034","21,732","34,951","19,450","39,018","16,135","84,008","17,691","164,891","18,539","51,468","8,315","36,922","4,451","34,875","3,939","23,076","3,273","6,885","2,642",32,293,1,2,0,0,0,0
2021-11,2호선,12,을지로입구,93,0,"1,832","2,005","2,800","23,553","7,900","107,789","13,631","298,283","14,169","141,572","17,190","61,100","25,432","55,036","30,025","43,448","39,447","41,039","46,889","38,213","57,920","33,927","68,655","34,288","139,992","40,889","244,107","45,000","96,518","21,633","85,264","11,975","59,149","10,670","43,047","9,814","13,653","6,219",8,"3,727",0,1,0,0,0,0
2021-11,2호선,13,을지로3가,12,1,915,"1,884","2,047","17,783","5,118","61,885","9,644","153,450","10,613","72,705","12,412","31,308","16,989","24,842","18,751","24,694","23,038","26,691","26,396","22,900","29,262","20,645","36,814","21,665","79,183","26,514","128,501","33,095","50,751","16,940","35,136","8,123","38,982","6,343","37,289","5,480","17,449","3,768",20,415,0,1,0,0,0,0
2021-11,2호선,14,을지로4가,10,0,871,"1,223","1,523","12,358","3,328","31,623","6,520","81,230","6,800","41,372","8,720","22,830","12,367","20,141","14,632","18,001","16,784","18,262","19,869","16,826","23,943","15,361","28,031","13,022","53,469","11,754","68,514","11,570","28,792","6,433","15,229","3,475","12,842","2,973","9,316","2,797","3,416","1,985",6,216,0,0,0,0,0,0
2021-11,2호선,15,동대문역사문화공원(DDP),383,2,"6,042","1,077","4,558","7,510","6,705","19,389","9,922","49,873","9,338","31,365","10,368","25,128","13,373","24,262","16,604","23,822","17,027","23,492","20,366","22,700","25,329","20,024","31,445","18,187","39,392","18,953","40,834","23,090","23,269","22,172","16,775","13,841","18,663","10,738","13,123","8,492","4,894","7,221",10,"1,106",1,0,0,0,0,0
2021-11,2호선,16,신당,61,10,"6,176","1,072","10,687","8,182","25,800","16,145","43,610","33,147","24,992","22,617","17,283","18,030","16,677","18,391","18,957","18,950","20,011","19,521","20,311","20,204","21,473","21,707","24,753","25,053","30,398","32,934","32,486","45,961","20,197","28,939","15,209","17,796","13,632","16,203","10,981","15,177","4,526","10,400",9,399,0,0,0,0,0,0
2021-11,2호선,17,상왕십리,93,2,"5,340",596,"12,637","5,521","37,345","11,260","61,510","35,696","33,881","19,011","19,968","13,427","18,213","12,016","19,058","13,897","18,484","15,341","17,465","15,736","18,738","18,103","20,378","22,914","25,801","32,597","28,301","51,834","17,237","33,251","12,265","20,743","10,659","19,194","7,249","18,361","2,192","12,000",2,319,0,1,0,0,0,0
2021-11,2호선,18,왕십리(성동구청),871,2,"7,144","1,102","9,562","5,355","24,877","12,547","44,975","26,372","27,887","18,257","17,919","13,952","19,343","14,672","20,824","16,711","21,697","17,837","22,444","18,329","24,800","19,508","28,750","23,580","35,720","33,938","37,875","55,501","22,797","33,386","21,191","19,093","23,499","17,271","25,933","16,431","12,348","13,065",26,656,0,1,0,0,0,0
2021-11,2호선,19,한양대,3,0,871,273,"2,080","5,304","4,767","10,878","8,489","43,030","5,808","33,182","6,153","20,842","12,283","15,490","11,724","18,946","11,652","16,358","12,571","14,592","18,650","13,465","21,738","10,192","34,099","10,672","34,710","11,721","13,426","6,821","10,261","4,699","10,403","4,334","8,485","4,210","3,508","3,270",2,151,0,0,0,0,0,0
2021-11,2호선,20,뚝섬,30,4,"3,434","1,886","7,507","13,588","17,748","34,284","25,924","132,734","17,197","92,049","13,466","38,453","14,611","26,731","17,645","28,180","21,320","30,291","24,343","26,521","29,929","27,267","39,147","28,474","65,989","32,587","123,737","42,914","59,804","25,071","36,817","12,890","34,819","10,901","25,109","10,071","7,456","6,934",25,418,0,0,0,0,0,0
2021-11,2호선,21,성수,75,0,"5,684","3,637","9,093","29,159","22,292","73,392","30,261","268,384","22,544","150,738","20,287","54,597","21,680","41,400","26,471","42,983","31,677","46,033","36,648","43,370","43,413","44,176","57,439","44,576","112,254","50,269","233,404","60,133","99,956","34,771","60,855","17,041","57,986","13,555","44,526","12,490","14,134","12,474",30,"5,071",1,1,0,0,0,0
2021-11,2호선,22,건대입구,326,10,"15,794","2,044","21,149","20,292","51,152","24,823","90,892","60,636","60,202","46,561","33,912","37,553","33,745","40,950","38,466","49,275","41,281","55,586","42,819","54,767","48,819","60,398","58,849","73,148","73,320","104,808","84,412","157,464","60,210","103,687","58,826","57,859","66,711","52,101","71,142","46,220","35,612","28,348",79,"4,974",2,2,1,1,0,0
2021-11,2호선,23,구의(광진구청),67,4,"12,602","1,118","25,003","10,583","64,551","15,198","113,700","40,322","64,873","23,782","33,406","18,755","28,216","19,279","29,241","21,979","28,328","23,873","25,995","25,575","26,431","33,079","31,417","38,077","36,096","54,173","43,047","93,569","21,935","66,421","16,271","40,758","15,734","38,731","14,022","36,401","6,030","20,557",31,"2,047",0,0,0,0,0,0
2021-11,2호선,24,강변(동서울터미널),15,0,"8,267","2,077","25,342","20,361","73,404","25,470","109,576","46,233","76,891","37,312","55,886","35,016","50,671","33,607","48,779","38,071","47,118","41,655","43,188","46,096","45,193","51,768","48,283","57,951","54,447","74,437","61,671","108,844","43,603","77,642","33,789","48,994","26,600","41,855","17,001","38,063","5,854","20,039",23,"1,807",0,0,0,0,0,0
2021-11,2호선,25,잠실나루,6,0,"2,816","1,668","10,647","9,297","36,140","21,408","46,266","38,408","27,654","25,936","22,116","17,626","21,529","15,305","21,005","19,343","19,310","19,134","21,091","18,681","22,256","17,297","28,595","18,767","34,795","24,820","29,854","38,433","13,744","28,063","10,028","16,380","7,433","15,835","5,498","15,160","1,871","8,313",11,740,0,1,0,1,0,0
2021-11,2호선,26,잠실(송파구청),99,25,"10,482","4,845","44,146","38,589","106,297","71,778","155,321","162,399","111,628","148,761","73,892","99,882","73,440","97,409","80,391","94,585","85,881","96,662","90,557","96,770","102,006","105,413","125,292","119,525","168,259","154,557","209,719","219,996","138,887","140,262","145,172","84,449","122,688","79,480","86,757","72,791","21,434","42,920",87,"3,633",0,0,0,0,0,0
2021-11,2호선,27,잠실새내,34,1,"4,357",797,"15,249","9,568","50,949","15,925","71,481","27,702","42,433","29,496","28,379","22,268","26,557","23,431","28,287","26,910","28,599","29,323","27,024","29,707","30,684","35,595","33,458","40,005","37,302","54,910","39,613","83,103","27,810","55,713","24,622","30,527","24,072","26,357","24,054","24,770","11,002","13,969",30,"1,451",1,1,0,0,0,0
2021-11,2호선,28,종합운동장,2,0,"1,457",943,"5,346","7,285","15,041","13,928","22,408","23,875","15,888","12,564","10,274","8,823","9,744","7,871","9,844","12,002","9,632","16,386","9,312","12,696","11,025","13,308","15,925","17,211","22,912","35,018","21,043","48,043","9,360","19,275","9,781","9,622","17,603","9,603","36,548","9,586","3,061","5,437",23,731,0,1,1,1,0,0
2021-11,2호선,29,삼성(무역센터),136,2,"4,089","5,124","6,704","38,724","14,045","122,641","19,950","326,589","20,382","243,732","22,500","102,763","33,259","74,563","41,239","66,102","54,963","72,411","66,062","63,521","83,680","54,774","107,421","51,965","196,517","56,226","300,667","61,538","150,764","33,603","107,327","15,833","91,099","13,107","64,111","11,054","14,379","7,018",11,"4,117",0,0,0,0,0,0
